"","Mean","Median","SD","Min","Max","1st Qu.","3rd Qu."
"BRB",0.427393586708792,0.158999994397163,0.756958162232699,-0.0430000014603138,5.06400012969971,0.104000002145767,0.280000001192093
"BRUB",2.13904225370522,2.30850005149841,1.21724242163367,-0.293000012636185,6.26700019836426,1.48924997448921,2.90200006961823
"HIB",0.558368909693206,0.231000006198883,0.698485294796595,-0.0599999986588955,3.61100006103516,0.149000003933907,0.703999996185303
"HIUB",1.88257870700262,1.99050003290176,1.03879054293892,-0.0810000002384186,4.1710000038147,1.24649998545647,2.64424991607666
"MAB",0.413341902637828,0.0920000001788139,0.967624458053833,-0.137999996542931,6.38600015640259,0.0230000000447035,0.25
"MAUB",1.40626146546202,1.36000001430511,1.19850591247234,-0.0839999988675117,4.48400020599365,0.160250000655651,2.27875006198883
"1KB",0.129218140280598,0.00400000018998981,0.687737563810793,-0.151999995112419,6.99499988555908,-0.0149999996647239,0.0405000001192093
"1KUB",0.244896724315768,0.0900000035762787,0.623890689604351,-0.143999993801117,5.73299980163574,0.0240000002086163,0.273000001907349
"1NSB",0.0569086417820259,0.0240000002086163,0.0914583654252906,-0.0890000015497208,0.560000002384186,0.00100000004749745,0.0850000008940697
"1NSUB",0.13729629590475,0.0920000001788139,0.212901281945402,-0.0989999994635582,2.76699995994568,0.046000000089407,0.175999999046326
"FLB",1.66651620670287,1.70199996232986,1.37705528518737,-0.00700000021606684,5.87599992752075,0.0930000022053719,2.77724999189377
"FLUB",1.40290329890915,1.33149999380112,1.35741687771426,-0.0590000003576279,5.52400016784668,0.0729999989271164,2.48925006389618
"KLB",0.113526502119002,0.0379999987781048,0.377629357433783,-0.208000004291534,3.82399988174438,0.00600000005215406,0.104000002145767
"KLUB",0.196003195316235,0.00849999999627471,1.21508090897392,-0.137999996542931,11.4169998168945,-0.00400000018998981,0.0320000015199184
"SLB",0.621776349386763,0.174999997019768,0.796064281961176,-0.162000000476837,3.6489999294281,0.061999998986721,1.12800002098083
"SLUB",1.04207021931917,0.48199999332428,1.09367056365829,-0.206000000238419,3.77099990844727,0.068000003695488,1.99500000476837
"LAB",0.195805897931934,0.096000000834465,0.410008906739098,-0.0350000001490116,2.74699997901917,0.0540000014007092,0.17399999499321
"LAUB",0.215802325885256,0.100500002503395,0.420954582512412,-0.194000005722046,3.3289999961853,0.0522500006482005,0.175749998539686
"SEB",0.286093677692901,0.0829999968409538,0.556422485222105,-0.118000000715256,5.01999998092651,0.025000000372529,0.251499995589256
"SEUB",0.828131509418472,0.257999986410141,1.05834901441062,-0.0900000035762787,5.83400011062622,0.0525000002235174,1.36449998617172
"1BBB",0.105052757969716,0.0649999976158142,0.136033180233822,-0.123000003397465,0.819000005722046,0.0179999992251396,0.145999997854233
"1BBUB",0.15554822394258,0.0944999977946281,0.20051225624833,-0.209000006318092,1.1360000371933,0.0219999998807907,0.218249998986721
"2BBB",0.291672679005472,0.0740000009536743,0.613744173662136,-0.100000001490116,4.92999982833862,0.0217499998398125,0.234749998897314
"2BBUB",0.540061009660257,0.0780000016093254,1.27757181961354,-0.160999998450279,8.75699996948242,0.0270000007003546,0.337999999523163
"1SB",0.186951220505757,0.123500000685453,0.368099973995342,-0.0790000036358833,4.07800006866455,0.0710000023245811,0.194000005722046
"1SUB",0.152450494683465,0.0989999994635582,0.266581005503802,-0.105999998748302,4.34299993515015,0.0370000004768372,0.193250004202127
"1VBB",0.216583332660819,0.104999996721745,0.648831700695511,-0.732999980449677,5.06699991226196,0.0587499998509884,0.16525000333786
"1VBUB",0.266489106051446,0.108000002801418,0.674333087613496,-0.122000001370907,4.88700008392334,0.0599999986588955,0.168999999761581
"2VBB",0.567233490816676,0.33950001001358,0.585654698825655,-0.0689999982714653,3.25699996948242,0.113500000908971,0.93724998831749
