"locality_and_treatment","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","LiDAR.data.from.year","plot_density_m2","resolution_m","region","Moose2015","Reddeer2015","Roedeer2015","YrsSinceExclosure","field_mean","field_median","trt","mean","n","median","sd","min","max","ninetyfive","first_qu","third_qu","mad","rmad","pf70","df1","dl2","rumple","vci","prod"
"bratsberg_b","BRB","Bratsberg","B",10.473511,63.352546,2002,2008,2017,5,"0,25","Trondelag",79.89208961,1.335197374,31.0221955,9,0.305774781922018,0.25,"b",0.389987665741597,3243,0.03,1.26133065752342,-0.03,9.6,2.94699999999999,0,0.09,0.044478,1.4826,0.07,0.0129509713228492,0,2.74055444747432,0.224873925074563,0.196448579540101
"bratsberg_ub","BRUB","Bratsberg","UB",10.472432,63.352243,2002,2008,2017,5,"0,25","Trondelag",79.89208961,1.335197374,31.0221955,9,1.38250736531987,1.25,"ub",0.915085076708508,3585,0.11,1.18661174474682,0,6.27,3.11,0.01,1.88,0.163086,1.4826,1.64,0.156485355648536,0.8125,6.24843842516677,0.491857370314548,0.196448579540101
"didrik_holmsen_b","DHB","Didrik Holmsen","B",11.427864,59.852391,2007,2010,2018,5,"0,25","Hedmark",56.43464358,0,18.91236981,8,0.970176270847898,0.875,"b",0.211798043728423,3476,0.07,0.434840469292247,0,3.56,1.2,0,0.15,0.103782,1.4826,0.13,0,0,1.72448839972327,0.245453394392141,0.234215068001819
"didrik_holmsen_ub","DHUB","Didrik Holmsen","UB",11.427313,59.850922,2007,2010,2018,5,"0,25","Hedmark",56.43464358,0,18.91236981,8,2.32102272727273,2,"ub",0.448648902821317,3190,0.1,0.667371783764157,-0.02,4.56,1.92,0,0.6875,0.14826,1.4826,0.43,0,0,2.76790373632069,0.427667275591252,0.234215068001819
"drangedal1_b","1DRB","Drangedal1","B",9.146759,59.129363,2005,2009,2017,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,8,1.01119791666667,0.75,"b",0.354060427413412,1357,0.08,0.606750695405727,0,3.79,1.562,0,0.37,0.118608,1.4826,0.24,0,0,1.99647585312952,0.382458446118937,0.211316769544198
"drangedal1_ub","1DRUB","Drangedal1","UB",9.147015,59.12789,2005,2009,2017,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,8,1.36182359307359,1.375,"ub",0.728161290322581,1240,0.1,1.53216880570856,0,8.7,2.524,0,1.0325,0.14826,1.4826,0.503,0.00967741935483871,0,3.16643458160145,0.383547714309743,0.211316769544198
"drangedal3_b","3DRB","Drangedal3","B",8.834496,59.056436,2007,2009,2016,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,7,0.203125,0.25,"b",0.216331592689295,766,0,1.02512565260462,0,7.06,0.2675,0,0,0,NA,0,0,0,1.56726516614368,0.175192500549706,0.0193532385870393
"drangedal3_ub","3DRUB","Drangedal3","UB",8.833796,59.056992,2007,2009,2016,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,7,0.597301136363636,0.5,"ub",0.244906323185012,854,0,0.994302610737028,0,7.56,1.367,0,0,0,NA,0,0,0,1.78794115838276,0.190956853464838,0.0193532385870393
"drangedal4_b","4DRB","Drangedal4","B",8.822521,59.022177,2007,2009,2016,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,7,0.733103754397079,0.75,"b",0.841067415730337,1246,0.66,1.23020606898125,0,8.54,3.6025,0.05,0.91,0.66717,1.01086363636364,0.85,0.0377207062600321,0,3.13047933166485,0.456920871761117,0.205027981060011
"drangedal4_ub","4DRUB","Drangedal4","UB",8.822454,59.021728,2007,2009,2016,2,"0,5","Telemark",27.00672829,9.836987784,5.031787593,7,1.78137254901961,1.75,"ub",1.99268219383922,1331,2.05,0.772258539321439,0,4.71,3.145,1.52,2.5,0.726474,0.35437756097561,2.41,0.411720510894065,0.787735849056604,6.04471483889396,0.773213045698389,0.205027981060011
"eidskog_b","STSKNB","Eidskog","B",11.702825,60.04316,2008,2011,2016,2,"0,5","Hedmark",52.57030574,0.363637888,32.77363522,5,0.701488095238095,0.5,"b",0.373191489361702,1175,0.07,0.893992410051137,0,7.21,2.11,0,0.25,0.103782,1.4826,0.2,0.0025531914893617,0.8,1.76622966483097,0.274463769140178,0.250270962957011
"eidskog_ub","STSKNUB","Eidskog","UB",11.703475,60.043477,2008,2011,2016,2,"0,5","Hedmark",52.57030574,0.363637888,32.77363522,5,1.10714285714286,0.75,"ub",0.187652892561983,1210,0.04,0.428409386368072,0,3.09,1.08,0,0.15,0.059304,1.4826,0.13,0,0,1.45340710407108,0.224294512448342,0.250270962957011
"fet3_b","FKB","Fet 3","B",11.262528,59.82754,2008,2011,2016,5,"0,25","Hedmark",71.33638992,0,32.84966157,5,0.632556935817805,0.75,"b",0.262862811791383,3528,0.215,0.260246489341009,0,2.14,0.64,0.09,0.38,0.214977,0.999893023255814,0.34,0,0,1.57420146262517,0.271235433545786,0.140119204478322
"fet3_ub","FKUB","Fet 3","UB",11.260981,59.828745,2008,2011,2016,5,"0,25","Hedmark",71.33638992,0,32.84966157,5,1.37089646464646,0.875,"ub",0.626922857956163,3513,0.45,0.640536647714738,0,6.64,2,0.17,0.85,0.474432,1.05429333333333,0.74,0,0,2.63889283765303,0.479562980447986,0.140119204478322
"fritsoe1_b","1FRB","Fritsoe1","B",9.739193,59.416329,2009,2009,2017,2,"0,5","Telemark",45.5486725,2.225169257,8.847710058,8,0.870833333333333,0.625,"b",0.369170100058858,1699,0.04,0.697156233426277,0,4.02,1.92,0,0.26,0.059304,1.4826,0.19,0,0,2.2294245976082,0.386256054440469,0.245537882619449
"fritsoe1_ub","1FRUB","Fritsoe1","UB",9.738498,59.415974,2009,2009,2017,2,"0,5","Telemark",45.5486725,2.225169257,8.847710058,8,1.1019633764199,0.875,"ub",0.956565064478312,1706,1,0.861134310006112,0,4.54,2.49,0.08,1.5575,1.156428,1.156428,1.45,0.048651817116061,0,4.24672328340831,0.592785907041974,0.245537882619449
"fritsoe2_b","2FRB","Fritsoe2","B",9.823752,59.367768,2005,2009,2017,2,"0,5","Telemark",45.48785783,33.89613967,19.91579349,8,0.97188995215311,0.75,"b",0.474467787114846,714,0.04,0.91638677607482,0,5.95,2.3735,0,0.435,0.059304,1.4826,0.311,0.0196078431372549,0,2.18494863237557,0.430983056347093,0.148195815507045
"fritsoe2_ub","2FRUB","Fritsoe2","UB",9.823527,59.367231,2005,2009,2017,2,"0,5","Telemark",45.48785783,33.89613967,19.91579349,8,1.8816856452726,2,"ub",1.09093023255814,731,1,1.10580050186295,0,6.6,2.945,0,1.91,1.4826,1.4826,1.81,0.124487004103967,0,3.8224636400194,0.542300639658652,0.148195815507045
"fyresdal_b","1FYB","Furesdal","B",8.092094,59.336119,2007,2009,2017,2,"0,5","Telemark",23.22393919,2.078638027,1.526065809,8,0.443742740998839,0.25,"b",0.103744250229991,1087,0,0.301084688718051,0,2.57,0.34,0,0.1,0,NA,0.08,0,0,1.19771313545308,0.11578532212647,0.0580350472734916
"fyresdal_ub","1FYUB","Furesdal","UB",8.092528,59.336993,2007,2009,2017,2,"0,5","Telemark",23.22393919,2.078638027,1.526065809,8,0.735714285714286,0.25,"ub",0.808089668615984,1026,0.08,1.9260683207877,0,17.12,4.385,0,0.4375,0.118608,1.4826,0.2,0.0653021442495127,0.846153846153846,3.56674450362235,0.311953556064111,0.0580350472734916
"hi_tydal_b","HIB","Hi_tydal","B",11.411862,63.098123,2005,2008,2015,2,"0,5","Trondelag",16.47588281,0.419443553,0,7,0.805128205128205,0.75,"b",0.168299435028249,5310,0.02,0.405383936040398,-0.24,2.67,1.15,0,0.11,0.029652,1.4826,0.09,0,0,1.67403959342198,0.260862727240987,0.214070788335689
"hi_tydal_ub","HIUB","Hi_tydal","UB",11.411103,63.09807,2005,2008,2015,2,"0,5","Trondelag",16.47588281,0.419443553,0,7,1.37959330143541,1.25,"ub",1.09134871979805,5546,1.11,1.02138237197842,-0.24,4.32,2.83,0.04,1.87,1.497426,1.34903243243243,1.73,0.132347637937252,0.719769673704415,4.45479020103791,0.726795207939957,0.214070788335689
"h_pramhus_b","HPB","Halvard Pramhus","B",12.156934,60.095024,2007,2010,2016,5,"0,25","Hedmark",62.64905485,0,13.92362896,6,1.20119047619048,0.875,"b",0.184956114686951,3418,0.05,0.489660744937083,0,4.41,1.22,0,0.13,0.07413,1.4826,0.11,0,0,1.80822730410027,0.164432889767044,0.335469416346708
"h_pramhus_ub","HPUB","Halvard Pramhus","UB",12.156633,60.095602,2007,2010,2016,5,"0,25","Hedmark",62.64905485,0,13.92362896,6,1.39237012987013,1.125,"ub",0.45782253179891,3302,0.07,0.737041550113047,0,4.1,2.09,0,0.56,0.103782,1.4826,0.21,0.00817686250757117,0,3.03346725531802,0.397906699395465,0.335469416346708
"kongsvinger1_b","IAAB","Kongsvinger 1","B",11.941436,60.194141,2008,2011,2019,5,"0,25","Hedmark",51.74144646,1.630122359,10.57013525,8,1.54559871703493,1.25,"b",0.960636085626911,1635,0.89,0.961249740668734,0,4.22,2.8,0,1.56,1.275036,1.43262471910112,1.39,0.0941896024464832,0.764705882352941,2.88888131685727,0.741544668658542,0.507402727817246
"kongsvinger1_ub","IAAUB","Kongsvinger 1","UB",11.940475,60.194646,2008,2011,2019,5,"0,25","Hedmark",51.74144646,1.630122359,10.57013525,8,0.822721942470856,0.75,"ub",0.883848817080208,1733,0.5,1.06860316229647,-0.07,5,3.124,0,1.41,0.7413,1.4826,1.204,0.0940565493364108,0.754385964912281,3.22084699182095,0.674903751696512,0.507402727817246
"kongsvinger2_b","JCDB","Kongsvinger 2","B",11.972881,60.123316,2008,2011,2019,5,"0,25","Hedmark",51.74144646,1.630122359,10.57013525,8,0.737407780013414,0.75,"b",0.148836565096953,1444,0,0.398393208526071,-0.09,6.53,0.888499999999999,0,0.08,0,NA,0.05,0,0,1.40221327234397,0.17279435072426,0.0977691078853608
"kongsvinger2_ub","JCDUB","Kongsvinger 2","UB",11.972682,60.122872,2008,2011,2019,5,"0,25","Hedmark",51.74144646,1.630122359,10.57013525,8,1.65369897959184,1.375,"ub",0.308793208004851,1649,0,0.747030650488569,-0.07,4.18,2.216,0,0.08,0,NA,0.05,0.00667070952092177,0,2.30489916072654,0.304057742799556,0.0977691078853608
"kviteseid1_b","1KVB","Kviteseid1","B",8.198916,59.343617,2004,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,0.577478448275862,0.5,"b",0.923567540821376,2021,0.06,1.52396681086212,-0.01,7.9,4.3,0,1.41,0.088956,1.4826,0.87,0.145967342899555,0.769230769230769,3.34547628023072,0.491048585600004,0.105926078491013
"kviteseid1_ub","1KVUB","Kviteseid1","UB",8.19852,59.3433,2004,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,1.54861111111111,1.75,"ub",0.887119410085633,4204,0.08,1.13753169301723,0,4.38,3.06,0,1.83,0.118608,1.4826,1.56,0.144148430066603,0.799043062200957,5.10382517293908,0.577195812289205,0.105926078491013
"kviteseid2_b","2KVB","Kviteseid2","B",8.549483,59.30875,2005,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,0.839480803694513,0.625,"b",0.427259114583333,4608,0.1,0.717000190665079,0,5.5,2.03,0.02,0.51,0.14826,1.4826,0.29,0.00130208333333333,0,2.40735757862988,0.398766195046292,0.106407375541559
