tree_id;harvest_date;site_name;locationID;treatment;species;hgt_cm;length_cm;dgl_mm;dbh_mm;leaves_dw_g;stems_dw_g
74;2.8.2016;nsb_verdal;16;none;spruce;94;94;22;NA;160.5;172.4
75;2.8.2016;nsb_verdal;16;none;spruce;48;48;10;NA;11.1;19
76;2.8.2016;nsb_verdal;16;none;spruce;45;45;16;NA;28.2;30
77;2.8.2016;nsb_verdal;16;none;spruce;60;60;17;NA;44.9;57.6
78;2.8.2016;nsb_verdal;16;none;pine;30;30;10;NA;4.8;10.9
79;2.8.2016;nsb_verdal;16;none;pine;73;73;22;NA;48.5;77.5
80;2.8.2016;nsb_verdal;16;none;pine;23;23;10;NA;9.7;103.2
81;2.8.2016;nsb_verdal;16;UB;rowan;227;227;19.5;9.5;32.1;162.8
82;2.8.2016;nsb_verdal;16;UB;rowan;123;123;12.5;NA;28.5;6.8
83;2.8.2016;verdal_2vb;14;none;birch;73;73;11;NA;8.5;29.3
84;2.8.2016;verdal_2vb;14;none;birch;34;34;10;NA;0.9;1.9
85;2.8.2016;verdal_2vb;14;none;birch;29;29;4;NA;0.6;0.9
86;2.8.2016;verdal_2vb;14;none;rowan;55;55;15;NA;1.3;36.2
87;2.8.2016;verdal_2vb;14;none;birch;298;298;37;17;101.6;879.9
88;2.8.2016;verdal_2vb;14;none;pine;74;74;22.11;NA;11.6;90.7
89;2.8.2016;verdal_2vb;14;none;birch;88;88;10.67;NA;11.7;43.1
90;2.8.2016;verdal_2vb;14;none;birch;176;176;33.88;10;61;419.9
91;2.8.2016;verdal_2vb;14;none;spruce;151;151;44.11;7;213.9;399.3
92;2.8.2016;verdal_2vb;14;none;spruce;26;26;7;NA;4.1;6.6
93;2.8.2016;verdal_2vb;14;none;spruce;62;62;17;NA;66.2;115.3
94;2.8.2016;verdal_2vb;14;none;spruce;205;205;38.29;16;468;807.2
95;2.8.2016;verdal_2vb;14;none;rowan;25;25;9;NA;0.3;1.8
96;2.8.2016;verdal_2vb;14;none;rowan;35;35;15;NA;1.2;18.5
97;2.8.2016;verdal_2vb;14;none;rowan;55;55;17;NA;1.8;69
98;2.8.2016;verdal_2vb;14;none;spruce;95;95;19;NA;58.8;111.5
99;2.8.2016;verdal_2vb;14;none;pine;75;75;32.61;NA;11.7;260.4
