"","LocalityCode","LocalityName","Region.x","Treatment","Mean","Median","MAD","productivity","Field_median","mean_of_mean","mean_of_median","median_of_mean","median_of_median"
"1","1BBB","steinkjer_1BBb","Trondelag","Open plot",0.105052757969716,0.0649999976158142,0.0830256025627255,0.115979123017114,0.25,0.39359120841319,0.375,0.351608187134503,0.25
"2","1BBUB","steinkjer_1BBb","Trondelag","Exclosure",0.15554822394258,0.0944999977946281,0.125279703965597,0.115979123017114,0.375,0.49828125,0.4375,0.4765625,0.375
"3","1CAB","Nome_Cappelen1","Telemark","Open plot",0.212220429511045,0.104000002145767,0.122314504860342,0.0804412833108973,0.5,0.595720720720721,0.583333333333333,0.625,0.75
"4","1CAUB","Nome_Cappelen1","Telemark","Exclosure",0.299851009619276,0.0879999995231628,0.103782000441849,0.0804412833108973,0.25,0.675189393939394,0.25,0.662878787878788,0.25
"5","1DRB","Drangedal1","Telemark","Open plot",0.724767388548418,0.36599999666214,0.437366991604865,0.211316769544198,0.75,1.01119791666667,0.75,1.0390625,0.75
"6","1DRUB","Drangedal1","Telemark","Exclosure",0.89349748748536,0.766999989748001,0.9822224856399,0.211316769544198,1.375,1.36182359307359,1.4375,1.35757575757576,1.375
"7","1FRB","Fritsoe1","Telemark","Open plot",0.86256351190303,0.28999999165535,0.355823986523598,0.245537882619449,0.625,0.870833333333333,0.625,0.991666666666667,0.625
"8","1FRUB","Fritsoe1","Telemark","Exclosure",1.4471953509213,1.48949998617172,0.797638781619072,0.245537882619449,0.875,1.1019633764199,0.9375,1.14414414414414,0.875
"9","1FYB","Furesdal","Telemark","Open plot",0.256416666238159,0.159999996423721,0.131210100795329,0.0580350472734916,0.25,0.443742740998839,0.25,0.446428571428571,0.25
"10","1FYUB","Furesdal","Telemark","Exclosure",0.765572700937602,0.221000000834465,0.226837795758247,0.0580350472734916,0.25,0.735714285714286,0.3125,0.646428571428571,0.25
"11","1KB","namdalseid_1kub","Trondelag","Open plot",0.129218140280598,0.00400000018998981,0.035582399618905,0.222676728012514,0.25,0.353741216512956,0.25,0.345108695652174,0.25
"12","1KUB","namdalseid_1kub","Trondelag","Exclosure",0.244896724315768,0.0900000035762787,0.127503605020512,0.222676728012514,0.25,0.454047619047619,0.375,0.441428571428571,0.25
"13","1KVB","Kviteseid1","Telemark","Open plot",1.1901827429254,0.341499999165535,0.421058399977908,0.105926078491013,0.5,0.577478448275862,0.5,0.579956896551724,0.5
