"","LocalityCode","X1","LocalityName","X1.x","X1_2","X1_1","ExperimentID","Region.x","DistrictID","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","LiDAR.data.from.year","Point.density...m.2.","Resolution..m.","Mean","Median","SD","Min","Max","X1st.Qu.","X3rd.Qu.","IQR","ClearCutToLidar","CV","IQR_med","MAD","MAD_med","X1.y","Region.y","productivity","Field_median","link","mean_of_mean","mean_of_median","median_of_mean","median_of_median"
"1","1BBB",61,"steinkjer_1BBb",1,1,1,"{D6B2FD7A-15C4-4670-B026-3602BBEA1089}","Trondelag",1702,"Open plot",11891657,64213491,2005,2008,2011,2,"0,5",0.105052757969716,0.0649999976158142,0.136033180233822,-0.123000003397465,0.819000005722046,0.0179999992251396,0.145999997854233,0.127999998629093,6,1.29490346434348,1.96923082037086,0.0830256025627255,1.27731700935518,40,"Trondelag",0.115979123017114,0.25,"steinkjer_1BBbOpen plot2011",0.39359120841319,0.375,0.351608187134503,0.25
"2","1BBUB",62,"steinkjer_1BBb",2,2,2,"{38DA5D4B-31DA-44A6-A087-D602E9C69D3E}","Trondelag",1702,"Exclosure",11892633,64213433,2005,2008,2011,2,"0,5",0.15554822394258,0.0944999977946281,0.20051225624833,-0.209000006318092,1.1360000371933,0.0219999998807907,0.218249998986721,0.19624999910593,6,1.28906811769415,2.07671961572349,0.125279703965597,1.32571118401358,40,"Trondelag",0.115979123017114,0.375,"steinkjer_1BBbExclosure2011",0.49828125,0.4375,0.4765625,0.375
"3","1CAB",35,"Nome_Cappelen1",3,3,3,"{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30}","Telemark",806,"Open plot",9262933,59141608,2006,2009,2017,2,"0,5",0.212220429511045,0.104000002145767,0.335401451436714,-0.187000006437302,1.75399994850159,0.0379999987781048,0.217249993234873,0.179249994456768,11,1.58043903788847,1.7235576034463,0.122314504860342,1.17610098400676,25,"Telemark",0.0804412833108973,0.5,"Nome_Cappelen1Open plot2017",0.595720720720721,0.583333333333333,0.625,0.75
"4","1CAUB",36,"Nome_Cappelen1",4,4,4,"{C860FA23-A806-4B1A-90A9-084A813B1A50}","Telemark",806,"Exclosure",9263685,59141688,2006,2009,2017,2,"0,5",0.299851009619276,0.0879999995231628,0.59262313622045,-0.187999993562698,3.36700010299683,0.0270000007003546,0.20100000500679,0.174000004306435,11,1.97639199872267,1.97727278692355,0.103782000441849,1.1793409205023,25,"Telemark",0.0804412833108973,0.25,"Nome_Cappelen1Exclosure2017",0.675189393939394,0.25,0.662878787878788,0.25
"5","1DRB",5,"Drangedal1",5,5,5,"{89274CF3-A2AB-493F-B1A7-85568BEA0856}","Telemark",817,"Open plot",9146759,59129363,2005,2009,2017,2,"0,5",0.724767388548418,0.36599999666214,0.733789546035406,-0.0710000023245811,4.13500022888184,0.152999997138977,1.2150000333786,1.06200003623962,12,1.01244834912489,2.90163946974013,0.437366991604865,1.19499179123929,3,"Telemark",0.211316769544198,0.75,"Drangedal1Open plot2017",1.01119791666667,0.75,1.0390625,0.75
"6","1DRUB",6,"Drangedal1",6,6,6,"{60E7D4D8-86FE-4751-A9B4-1E8270B36310}","Telemark",817,"Exclosure",9147015,5912789,2005,2009,2017,2,"0,5",0.89349748748536,0.766999989748001,0.763256688596589,-0.0320000015199184,2.97000002861023,0.150000002235174,1.51875004172325,1.36875003948808,12,0.854234845969945,1.78455027090389,0.9822224856399,1.2806029970908,3,"Telemark",0.211316769544198,1.375,"Drangedal1Exclosure2017",1.36182359307359,1.4375,1.35757575757576,1.375
"7","1FRB",15,"Fritsoe1",7,7,7,"{6D6A5302-BEF1-4207-99AF-70D46B036A98}","Telemark",604,"Open plot",9739193,59416329,2009,2009,2017,2,"0,5",0.86256351190303,0.28999999165535,0.987658366678286,-0.0469999983906746,4.16499996185303,0.116999998688698,1.50699996948242,1.38999997079372,8,1.14502683344356,4.79310348548446,0.355823986523598,1.22697929918038,8,"Telemark",0.245537882619449,0.625,"Fritsoe1Open plot2017",0.870833333333333,0.625,0.991666666666667,0.625
"8","1FRUB",16,"Fritsoe1",8,8,8,"{509F49A6-7A67-4F86-860C-C99CA5E73473}","Telemark",604,"Exclosure",9738498,59415974,2009,2009,2017,2,"0,5",1.4471953509213,1.48949998617172,0.902512956226435,-0.061999998986721,4.80600023269653,0.842500001192093,1.99500000476837,1.15250000357628,8,0.62362897700845,0.773749589980465,0.797638781619072,0.535507746911194,8,"Telemark",0.245537882619449,0.875,"Fritsoe1Exclosure2017",1.1019633764199,0.9375,1.14414414414414,0.875
"9","1FYB",19,"Furesdal",9,9,9,"{8CE41C97-B47B-498D-B8DE-F9318B06F05C}","Telemark",831,"Open plot",8092094,59336119,2007,2009,2017,2,"0,5",0.256416666238159,0.159999996423721,0.350347733996896,-0.0579999983310699,2.58299994468689,0.0839999988675117,0.272000007331371,0.188000008463859,10,1.36632200682109,1.17500007916242,0.131210100795329,0.820063148300648,10,"Telemark",0.0580350472734916,0.25,"FuresdalOpen plot2017",0.443742740998839,0.25,0.446428571428571,0.25
"10","1FYUB",20,"Furesdal",10,10,10,"{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54}","Telemark",831,"Exclosure",8092528,59336993,2007,2009,2017,2,"0,5",0.765572700937602,0.221000000834465,1.18438930762097,-0.209999993443489,5.48400020599365,0.11599999666214,1.01900005340576,0.90300005674362,10,1.54706314131949,4.08597309200913,0.226837795758247,1.02641536154633,10,"Telemark",0.0580350472734916,0.25,"FuresdalExclosure2017",0.735714285714286,0.3125,0.646428571428571,0.25
