"","LocalityName","ExperimentID","Region.x","DistrictID","LocalityCode","Treatment","Longitude","Latitude","Clear cut","Year initiated","LiDAR data from year","Point density (/m^2)","Resolution (m)","X14","X1","Region.y","Productivity"
"14","Fet 3","{ABD40618-B381-4973-84CB-072C9B2E0FB8}","Hedmark",227,"FKUB","UB",11260981,59828745,"2008/9",2011,2016,5,"0,25",NA,7,"Hedmark",0.140119204478322
"15","Fritsoe1","{6D6A5302-BEF1-4207-99AF-70D46B036A98}","Telemark",604,"1FRB","B",9739193,59416329,"2009",2009,2017,2,"0,5",NA,8,"Telemark",0.245537882619449
"16","Fritsoe1","{509F49A6-7A67-4F86-860C-C99CA5E73473}","Telemark",604,"1FRUB","UB",9738498,59415974,"2009",2009,2017,2,"0,5",NA,8,"Telemark",0.245537882619449
"17","Fritsoe2","{DD38A6C0-256F-4B6F-87C4-630837EB525D}","Telemark",728,"2FRB","B",9823752,59367768,"2005",2009,2017,2,"0,5",NA,9,"Telemark",0.148195815507045
"18","Fritsoe2","{935BC523-6BFE-4F42-B2B8-2183C5CA614F}","Telemark",728,"2FRUB","UB",9823527,59367231,"2005",2009,2017,2,"0,5",NA,9,"Telemark",0.148195815507045
"19","Furesdal","{8CE41C97-B47B-498D-B8DE-F9318B06F05C}","Telemark",831,"1FYB","B",8092094,59336119,"2007",2009,2017,2,"0,5",NA,10,"Telemark",0.0580350472734916
"20","Furesdal","{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54}","Telemark",831,"1FYUB","UB",8092528,59336993,"2007",2009,2017,2,"0,5",NA,10,"Telemark",0.0580350472734916
"21","Halvard Pramhus","{365B9355-105E-4EEA-B946-3EF224DF1129}","Hedmark",420,"HPB","B",12156934,60095024,"2007/8",2010,2016,5,"0,25",NA,11,"Hedmark",0.335469416346708
"22","Halvard Pramhus","{768B55CE-D7B2-42F7-BDFA-709547A85DD8}","Hedmark",420,"HPUB","UB",12156633,60095602,"2007/8",2010,2016,5,"0,25",NA,11,"Hedmark",0.335469416346708
"23","Hi_tydal","{B6F75EEC-1139-48B1-8148-E89730762065}","Tr<f8>ndelag",1665,"HIB","B",11411862,63098123,"2005",2008,2015,2,"0,5",NA,12,"Trondelag",0.214070788335689
"24","Hi_tydal","{4293E6E3-8FD7-4E28-8D12-B9A66011FE89}","Tr<f8>ndelag",1665,"HIUB","UB",11411103,6309807,"2005",2008,2015,2,"0,5",NA,12,"Trondelag",0.214070788335689
"25","Kongsvinger 1","{43B7107D-EACD-413F-96EB-17F85613752C}","Hedmark",402,"IAAB","B",11941436,60194141,"2008/9",2011,2019,5,"0,25",NA,13,"Hedmark",0.507402727817246
"26","Kongsvinger 1","{F8313010-6EC6-4297-B477-506B947782F0}","Hedmark",402,"IAAUB","UB",11940475,60194646,"2008/9",2011,2019,5,"0,25",NA,13,"Hedmark",0.507402727817246
"27","Kongsvinger 2","{6A93A1F1-B211-4768-9DF5-839B8F19F814}","Hedmark",402,"JCDB","B",11972881,60123316,"2008/9",2011,2019,5,"0,25",NA,14,"Hedmark",0.0977691078853608
"28","Kongsvinger 2","{AF1A2842-B4A1-4940-B289-A77B1363CDF5}","Hedmark",402,"JCDUB","UB",11972682,60122872,"2008/9",2011,2019,5,"0,25",NA,14,"Hedmark",0.0977691078853608
"29","Kviteseid1","{55C2C199-CD2E-4DAB-992F-6154F9BBD327}","Telemark",829,"1KVB","B",8198916,59343617,"2004",2009,2017,5,"0,25",NA,15,"Telemark",0.105926078491013
"30","Kviteseid1","{69BD18EC-1914-49D9-8917-D51244471E62}","Telemark",829,"1KVUB","UB",819852,593433,"2004",2009,2017,5,"0,25",NA,15,"Telemark",0.105926078491013
"31","Kviteseid2","{4BCAF02B-97BF-4422-8227-AC3B19CDBD78}","Telemark",829,"2KVB","B",8549483,5930875,"2005",2009,2017,5,"0,25",NA,16,"Telemark",0.106407375541559
