"","LocalityCode","LocalityName","ExperimentID","Region.x","DistrictID","Treatment","Longitude","Latitude","Clear cut","Year initiated","LiDAR data from year","Point density (/m^2)","Resolution (m)","X14","X1.x","Region.y","Productivity","X1.y","mn","md","sd","min","max","first_qu.25.","third_qu.75.","mad"
"1","1BBB","steinkjer_1BBb","{D6B2FD7A-15C4-4670-B026-3602BBEA1089}","Tr<f8>ndelag",1702,"B",11891657,64213491,"2005",2008,2011,2,"0,5",NA,40,"Trondelag",0.115979123017114,"steinkjer_1BBb_b",0.105052757969716,0.0649999976158142,0.136033180233822,-0.123000003397465,0.819000005722046,0.0179999992251396,0.145999997854233,0.0830256025627255
"2","1BBUB","steinkjer_1BBb","{38DA5D4B-31DA-44A6-A087-D602E9C69D3E}","Tr<f8>ndelag",1702,"UB",11892633,64213433,"2005",2008,2011,2,"0,5",NA,40,"Trondelag",0.115979123017114,"steinkjer_1BBb_ub",0.15554822394258,0.0944999977946281,0.20051225624833,-0.209000006318092,1.1360000371933,0.0219999998807907,0.218249998986721,0.125279703965597
"3","1CAB","Nome_Cappelen1","{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30}","Telemark",806,"B",9262933,59141608,"2006",2009,2017,2,"0,5",NA,25,"Telemark",0.0804412833108973,"n_cappelen1_b",0.212220429511045,0.104000002145767,0.335401451436714,-0.187000006437302,1.75399994850159,0.0379999987781048,0.217249993234873,0.122314504860342
"4","1CAUB","Nome_Cappelen1","{C860FA23-A806-4B1A-90A9-084A813B1A50}","Telemark",806,"UB",9263685,59141688,"2006",2009,2017,2,"0,5",NA,25,"Telemark",0.0804412833108973,"n_cappelen1_ub",0.299851009619276,0.0879999995231628,0.59262313622045,-0.187999993562698,3.36700010299683,0.0270000007003546,0.20100000500679,0.103782000441849
"5","1DRB","Drangedal1","{89274CF3-A2AB-493F-B1A7-85568BEA0856}","Telemark",817,"B",9146759,59129363,"2005",2009,2017,2,"0,5",NA,3,"Telemark",0.211316769544198,"drangedal1_b",0.724767388548418,0.36599999666214,0.733789546035406,-0.0710000023245811,4.13500022888184,0.152999997138977,1.2150000333786,0.437366991604865
"6","1DRUB","Drangedal1","{60E7D4D8-86FE-4751-A9B4-1E8270B36310}","Telemark",817,"UB",9147015,5912789,"2005",2009,2017,2,"0,5",NA,3,"Telemark",0.211316769544198,"drangedal1_ub",0.89349748748536,0.766999989748001,0.763256688596589,-0.0320000015199184,2.97000002861023,0.150000002235174,1.51875004172325,0.9822224856399
"7","1FRB","Fritsoe1","{6D6A5302-BEF1-4207-99AF-70D46B036A98}","Telemark",604,"B",9739193,59416329,"2009",2009,2017,2,"0,5",NA,8,"Telemark",0.245537882619449,"fritsoe1_b",0.86256351190303,0.28999999165535,0.987658366678286,-0.0469999983906746,4.16499996185303,0.116999998688698,1.50699996948242,0.355823986523598
"8","1FRUB","Fritsoe1","{509F49A6-7A67-4F86-860C-C99CA5E73473}","Telemark",604,"UB",9738498,59415974,"2009",2009,2017,2,"0,5",NA,8,"Telemark",0.245537882619449,"fritsoe1_ub",1.4471953509213,1.48949998617172,0.902512956226435,-0.061999998986721,4.80600023269653,0.842500001192093,1.99500000476837,0.797638781619072
"9","1FYB","Furesdal","{8CE41C97-B47B-498D-B8DE-F9318B06F05C}","Telemark",831,"B",8092094,59336119,"2007",2009,2017,2,"0,5",NA,10,"Telemark",0.0580350472734916,"fyresdal_b",0.256416666238159,0.159999996423721,0.350347733996896,-0.0579999983310699,2.58299994468689,0.0839999988675117,0.272000007331371,0.131210100795329
"10","1FYUB","Furesdal","{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54}","Telemark",831,"UB",8092528,59336993,"2007",2009,2017,2,"0,5",NA,10,"Telemark",0.0580350472734916,"fyresdal_ub",0.765572700937602,0.221000000834465,1.18438930762097,-0.209999993443489,5.48400020599365,0.11599999666214,1.01900005340576,0.226837795758247
"11","1KB","namdalseid_1kub","{2FF62A21-F59E-4A0E-AE79-926652BB96C0}","Tr<f8>ndelag",1725,"B",11319426,64264537,"2006",2008,2010,2,"0,5",NA,22,"Trondelag",0.222676728012514,"namdalseid_1kub_b",0.129218140280598,0.00400000018998981,0.687737563810793,-0.151999995112419,6.99499988555908,-0.0149999996647239,0.0405000001192093,0.035582399618905
"12","1KUB","namdalseid_1kub","{36856F81-364E-4F86-B5D1-AA06D7E3475F}","Tr<f8>ndelag",1725,"UB",11318889,64263747,"2006",2008,2010,2,"0,5",NA,22,"Trondelag",0.222676728012514,"namdalseid_1kub_ub",0.244896724315768,0.0900000035762787,0.623890689604351,-0.143999993801117,5.73299980163574,0.0240000002086163,0.273000001907349,0.127503605020512
"13","1KVB","Kviteseid1","{55C2C199-CD2E-4DAB-992F-6154F9BBD327}","Telemark",829,"B",8198916,59343617,"2004",2009,2017,5,"0,25",NA,15,"Telemark",0.105926078491013,"kviteseid1_b",1.1901827429254,0.341499999165535,1.40837353414544,-0.0850000008940697,5.72599983215332,0.145249996334314,1.98824998736382,0.421058399977908
"14","1KVUB","Kviteseid1","{69BD18EC-1914-49D9-8917-D51244471E62}","Telemark",829,"UB",819852,593433,"2004",2009,2017,5,"0,25",NA,15,"Telemark",0.105926078491013,"kviteseid1_ub",1.69761136832054,1.83849996328354,1.21336918786112,-0.0649999976158142,4.44899988174438,0.270750001072884,2.66199994087219,1.58415825058222
