"","Region","LocalityName","productivity"
"1","Trondelag","Bratsberg",0.196448579540101
"2","Hedmark","Didrik Holmsen",0.234215068001819
"3","Telemark","Drangedal1",0.211316769544198
"4","Telemark","Drangedal3",0.0193532385870393
"5","Telemark","Drangedal4",0.205027981060011
"6","Hedmark","Eidskog",0.250270962957011
"7","Hedmark","Fet 3",0.140119204478322
"8","Telemark","Fritsøe1",0.245537882619449
"9","Telemark","Fritsøe2",0.148195815507045
"10","Telemark","Furesdal",0.0580350472734916
"11","Hedmark","Halvard Pramhus",0.335469416346708
"12","Trondelag","Hi_tydal",0.214070788335689
"13","Hedmark","Kongsvinger 1",0.507402727817246
"14","Hedmark","Kongsvinger 2",0.0977691078853608
"15","Telemark","Kviteseid1",0.105926078491013
"16","Telemark","Kviteseid2",0.106407375541559
"17","Telemark","Kviteseid3",0.0912505780029237
"18","Hedmark","Maarud 1",0.502955834178235
"19","Hedmark","Maarud 2",0.272350750320769
"20","Hedmark","Maarud 3",0.157610692369824
"21","Trondelag","Malvik",0.160287892381656
"22","Trondelag","namdalseid_1kub",0.222676728012514
"23","Hedmark","Nes 1",0.384882645546765
"24","Hedmark","Nes 2",0.984450427246636
"25","Telemark","Nome_Cappelen1",0.0804412833108973
"26","Telemark","Nome_Cappelen2",0.166542736794977
"27","Telemark","Notodden1",0.154754532518902
"28","Telemark","Notodden3",0.14243035474986
"29","Telemark","Notodden4",0.121097447884116
"30","Telemark","Notodden5",0.119776917028699
"31","Telemark","Notodden6",0.106105682858758
"32","Trondelag","Nsb_Verdal",0.11046364755872
"33","Trondelag","Selbu_Flub",0.271341571962914
"34","Trondelag","Selbu_kl",0.116040590906093
"35","Trondelag","Selbu_Sl",0.124288986480107
"36","Trondelag","Singsås",0.042265252358123
"37","Trondelag","Sl_Tydal",0.132712130856701
"38","Hedmark","Stangeskovene Aurskog",0.114068354617472
"39","Hedmark","Stangeskovene Eidskog",0.0904621044106202
"40","Trondelag","steinkjer_1BBb",0.115979123017114
"41","Trondelag","steinkjer_2BBb",0.0870407514943544
"42","Hedmark","Stig Dæhlen",1
"43","Trondelag","Sub_Namdalseid",0.0774373445233693
"44","Hedmark","Sørum 1",0.174894126572609
"45","Hedmark","Truls Holm",0.29477737362203
"46","Trondelag","verdal_1vb",0.0119389206250207
"47","Trondelag","verdal_2VB",0.24111518527678
